"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Code","1","346","3697103159296","132087808","106835968","34712","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\stanleyzhu\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1792,i,11580359922984010188,13280053486400701584,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3636 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","33.421875","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2472","8",,"False","2026/5/3 19:10:55",,"6136",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","34712","34712","106835968","106835968","668064","668064","113631232","113631232","139403264","139403264","3697137123328","-829718528","True","Normal","106835968","106835968","255","1",,"System.Diagnostics.ProcessThreadCollection","346","3697103159296","-863682560","False",,,,"132087808","132087808",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:22.8906250","00:00:33.4218750","00:00:10.5312500","Code","0","","True",,
"Code","1","180","3710605312000","107356160","37580800","18600","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ""c:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\034f571df5\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=2248","System.Diagnostics.Process (Code)","Microsoft Corporation","1.5","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1616","8",,"False","2026/5/3 19:10:57",,"6396",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18600","18600","37580800","37580800","617920","617920","39354368","39354368","110202880","110202880","3711300452352","448708608","True","Normal","37580800","37580800","255","1",,"System.Diagnostics.ProcessThreadCollection","180","3710605312000","-246431744","False",,,,"107356160","107356160",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.3906250","00:00:01.5000000","00:00:01.1093750","Code","0","","True",,
"Code","1","327","3695313457152","126263296","89690112","28808","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\stanleyzhu\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1792,i,11580359922984010188,13280053486400701584,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437 --mojo-platform-channel-handle=3820 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","9.9375","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4924","8",,"False","2026/5/3 19:10:56",,"9100",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","28808","28808","89690112","89690112","656232","656232","180035584","180035584","215572480","215572480","3695365894144","1694019584","True","Normal","89690112","89690112","255","1",,"System.Diagnostics.ProcessThreadCollection","327","3695313457152","1641582592","False",,,,"126263296","126263296",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:04.9062500","00:00:09.9375000","00:00:05.0312500","Code","0","","True",,
"Code","1","1047","3695737622528","152592384","112455680","55472","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","45.859375","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3388","8",,"False","2026/5/3 19:10:54",,"9784",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","55472","55472","112455680","112455680","1107296","1107296","149536768","149536768","182116352","182116352","3695795335168","2123460608","True","Normal","112455680","112455680","255","1",,"System.Diagnostics.ProcessThreadCollection","1047","3695737622528","2065747968","False",,,,"152592384","152592384",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:31.2031250","00:00:45.8593750","00:00:14.6562500","Code","197722","proc.csv - powershell-playground - Visual Studio Code","True",,
"Code","1","505","3697121054720","359071744","323260416","48448","C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --user-data-dir=""C:\Users\stanleyzhu\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\stanleyzhu\AppData\Local\Programs\Microsoft VS Code\034f571df5\resources\app"" --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=2 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1777784112564502 --launch-time-ticks=22542600205 --field-trial-handle=1792,i,11580359922984010188,13280053486400701584,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=3144 --vscode-window-config=vscode:43aac2d0-1288-447f-9c24-9d33657c29a4 /prefetch:1","System.Diagnostics.Process (Code)","Microsoft Corporation","128.9375","1.118.1","1.118.1","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1612","8",,"False","2026/5/3 19:10:55",,"10328",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","48448","48448","323260416","323260416","818656","818656","678309888","678309888","718512128","718512128","3698835390464","868548608","True","Normal","323260416","323260416","255","1",,"System.Diagnostics.ProcessThreadCollection","505","3697121054720","-845787136","False",,,,"359071744","359071744",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:53.2343750","00:02:08.9375000","00:01:15.7031250","Code","0","","True",,
"coherence","0","130","4421791744","8568832","2011136","7872",,,,,,,,,,"Process",,,"8",,,,,"3484",".",,,,"7872","7872","2011136","2011136","147864","147864","2134016","2134016","8966144","8966144","4424937472","129970176",,,"2011136","2011136",,"0",,"System.Diagnostics.ProcessThreadCollection","130","4421791744","126824448","False",,,,"8568832","8568832",,,,,,"coherence","0","","True",,
"coherence","1","123","4442128384","8527872","2052096","7952",,,,,,,,,,"Process",,,"8",,,,,"3756",".",,,,"7952","7952","2052096","2052096","186688","186688","2138112","2138112","8937472","8937472","4444426240","149458944",,,"2052096","2052096",,"1",,"System.Diagnostics.ProcessThreadCollection","123","4442128384","147161088","False",,,,"8527872","8527872",,,,,,"coherence","0","","True",,
"conhost","1","135","2203439955968","12328960","1765376","7976","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","System.Diagnostics.Process (powershell)","Microsoft Corporation","0.015625","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Console Window Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3824","8",,"False","2026/5/3 21:34:54",,"4164",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","7976","7976","1765376","1765376","144688","144688","1855488","1855488","12369920","12369920","2203443830784","125607936","True","Normal","1765376","1765376","255","1",,"System.Diagnostics.ProcessThreadCollection","135","2203439955968","121733120","False",,,,"12328960","12328960",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:00.0156250","00:00:00.0156250","00:00:00","conhost","0","","True",,
"csrss","0","519","2203442688000","7774208","2523136","21008",,,,,,,,,,"Process",,,"13",,,,,"720",".",,,,"21008","21008","2523136","2523136","259512","259512","3485696","3485696","8372224","8372224","2203444789248","126566400",,,"2523136","2523136",,"0",,"System.Diagnostics.ProcessThreadCollection","519","2203442688000","124465152","False",,,,"7774208","7774208",,,,,,"csrss","0","","True",,
"csrss","1","588","2203574427648","91164672","4136960","28152",,,,,,,,,,"Process",,,"13",,,,,"808",".",,,,"28152","28152","4136960","4136960","459232","459232","53329920","53329920","187355136","187355136","2203657998336","339775488",,,"4136960","4136960",,"1",,"System.Diagnostics.ProcessThreadCollection","588","2203574427648","256204800","False",,,,"91164672","91164672",,,,,,"csrss","0","","True",,
